,sentiment,content
110,worry,nasty cough cant sick huge weekend ahead
111,neutral,mention stone cold crazy
112,neutral,shift time bye bitch watch
113,neutral,mention sure cum play work til midnight
114,neutral,mention second wish rain
115,sadness,mention early happy day birth case make tire therapy today n take medicine miss love ya
116,neutral,damn eric anyone el need hair play
117,neutral,feel defeat ugh dog
118,sadness,allergic suck duck nut mention
119,neutral,well almost good day guess petri tomorrow
120,hate,mention barak tasteless expense portion little barak
121,love,mention sound good appreci suggest week still offline time ask refund
122,worry,mention die wait magic jack read
123,hate,mention youstinkatrespondingtotext
124,sadness,wonder karma point turn
125,happiness,need pack cali cali cannon wait think glass wine order celebi weekend vac still work morrow tho
126,sadness,miser feel like im gone cri six
127,neutral,mention well ran beer left sure eta wait wait wait blew gonna long nite rethink
128,worry,mention nose stud fell find look like head amsterdam today get new one
129,neutral,clair mention love show got office radio
130,love,pat phillip love mm cheesesteak miss boyfriend love vacant
131,sadness,sigh go bed feel right anymore
132,neutral,focus tom much see belov barak oh must vote poor preside vote
133,neutral,mention epicentre wheelock place tourist
134,sadness,depress watch think dance
135,sadness,cross cause stuck twiddle thumb ugh
136,neutral,miss th
137,neutral,mention know like said idea long take investing stuff
138,worry,cant sleep im sore move
139,neutral,mention awe miss baby
140,empty,mention answer never learn write french basic stuff
141,neutral,school never say
142,worry,achieve new appreci ml build script really pain cumbersome
143,neutral,mention away ill nap afternoon
144,worry,mention cant anth
145,neutral,still need noth hour sleep
146,relief,work
147,fun,rip leonardo great mini fiddler crab
148,neutral,morn tweed way early
149,sadness,last day work uni today sad time
150,love,mention thank newman gonna soon close izzie yet far
151,worry,head hurt bad could scream
152,worry,go im tire airmatra broken somewhere im even pain
153,worry,new work well challenge go well commit check email pm fail first day twice
154,worry,new blow post blow auto insure found auto insure police expiry careless mean
155,neutral,befriend mia wat
156,worry,oh men really see face c mon guy
157,worry,show age renew tag last week went got insure renew email today went wanna old
158,worry,sole support sole support
159,hate,hate finish work still hour left work time
160,worry,mention urgh stop guy
161,sadness,still miss husband really want home
162,sadness,miss puppy
163,surprise,day month left mb left speak download
164,fun,mention get memo look amaze
165,sadness,mention given pizza kid would never let fav hot one
166,worry,read tabloid people live think gonna mine baby leave
167,sadness,mention years pet home die sad whole family
168,neutral,fun sun hmm hell cold
169,worry,got giant splinter stuck underneath finger nail today muppet hurt got go first aid first time
170,sadness,mention hate chang cours fan life love oh met rob cometh went horrible wrong
171,worry,feel sad reason
172,sadness,well fuck new pain med odd warn actual apply take chan displease
173,sadness,unload new blow pain story year old man cri want die sad
174,neutral,mention think want detail
175,neutral,mention hi mari popping
176,worry,mention admit kind cur night time everytime one feel like make music afterward
177,neutral,last tweet send bad phone
178,fun,mention oh god ur alive laugh loud day gone soon slow go insane gdr anth tonight
179,empty,headache go bed goodnight
180,neutral,mention watch parent control
181,fun,mention get california vintage ahh best dress want dont bay
182,sadness,saw pic past thanksgiv sad grandma
183,worry,mention wont let
184,sadness,took shift tomorrow really feel like work right
185,sadness,money phone
186,worry,spent last night er wife tangle wheel daughter amp hit deck disc amp fracture result
187,worry,mention day read visit northwood see heard anth
188,surprise,mention iri hear thunder
189,surprise,bec v fat food winner fat food weekend ill beat
190,sadness,bad red devil disappoint say least
191,surprise,dream pretty pretty beach beach woke
192,sadness,mention ware se fast enough x x ssd raid mhz top hit might tri adaptec gh
193,surprise,da heck garage man get ask
194,worry,ate mandi plea forgive really sorry wanna lose
195,hate,mention umm yeah probably pretty good note self new
196,worry,plane ticket expense
197,fun,mention mention umm yeah probably pretty good note self new
198,worry,need job badly
199,sadness,mention daammnn wish
200,worry,went di bella coffee roster today ask job person need speak holiday
201,sadness,mention play latter part voodoo village part co op lost usual partner
202,empty,mention nite n bore oppose almost sleep b
203,sadness,bad friend
204,neutral,mention happy birthday hope awesome day see next last night
205,hate,mention im shit right im vacant got work
206,neutral,mention ill
207,neutral,mention guess go girl still gym work
208,hate,would wish sever migraine would stop doc rescript agent work
209,love,mention miss game
210,sadness,mention internet last night er brill massive explore end nearby ga work er standby
211,hate,mention cut airline super lame
212,sadness,mention still pity come lamb though
213,sadness,mention sorry hear optimist thing get better u
214,relief,done paint bedroom furniture still table wait move urgh move heat
215,hate,tire insomnia
216,neutral,mention hungry fool ill probably never see crisp creme enjoy close
217,neutral,mention airport dint show tonight homo
218,hate,hate akersfield hate port let go home already want start vacant
219,neutral,mention
220,neutral,look desktop twitter app actual let access curl suggest like titty link
221,worry,people hous know close door
222,surprise,complete casebook quiz time morn expect friday morn
223,neutral,mention amp mention soon hungry
224,worry,mention like possible left side brain hurt thing call vp shunt possible death
225,sadness,cancel wow
226,worry,want make music profit money know write music know play instrument studio
227,sadness,mention yeah sad ravenclaw account love account bit
228,worry,hear helicopter fly hous kind weird news headache back boohoo
229,worry,mention oh always wink love
230,neutral,back school m susana last day ft ocu okay play alton
231,neutral,poll tri get work powerpoint avail
232,happiness,took math test today day test teacher say bring calculi luke confide teacher decide call
233,happiness,oh god concert awesome madrid gave chill almost every piece brook also call alumnus dint get go
234,neutral,mention yeah terrible cockatoo hardest live emit good thing found though
235,sadness,late nothin
236,worry,think dog make sicker think feel slightly ach
237,empty,mention watch harper island laugh loud vodka involve
238,worry,homework six big time math worst
239,neutral,mention would better opinion let play song provide start get black
240,neutral,never start
241,sadness,sometime wish thing could go back way begin last summer
242,worry,download new twitterfon update think fix type problem new sweet
243,empty,mention trudi burnet one north one got
244,sadness,mention feel way guess matter always meme
245,happiness,cant minute treadmill done minute today already gonna minute
246,worry,soo confuse
247,neutral,friend like cairo nedumaran ltte need enemy wrong advice wrong time led number death amp lost cause well
248,worry,work day
249,happiness,chill rook wait zombi clan cr gonna week
250,neutral,love guitar play think sound magnifica better
251,worry,mention refund retrieve account take like week hope thief use hack permian
252,neutral,mention im cri laugh loud
253,sadness,cute malay girl came seem room rent sadly think guyfreind bit mislead disappoint laugh loud
254,surprise,mention epicentre wheelock place unit amp tourist start today
255,hate,hate new mt dew commerce one giant mosquito scare cross time
256,neutral,come knight well hour
257,worry,super keen drive home rain admit concern require really wanna deal
258,surprise,mention aw let secret
259,surprise,mention im sorry think stick least compare use look like
260,worry,transport church wont make im crush oh well time assign suppose throat really hurt
261,hate,hate see pregnant woman smoke soon irrespons n selfish salad ultima baby one suffer
262,hate,lie lie lie cant avoid lie practice every
263,neutral,twittascop rock sock go away already
264,neutral,drive back home forgot piece cake mention
265,worry,mention tri jump without trampoline like thud thud eaten cook
266,sadness,everytime send email coach feel need practice shitty ball laugh loud
267,sadness,piss let follow erika
268,sadness,go sleep peace want hear say good night happen good night everyone
269,sadness,mum tri make feel better stop vote adn win shortstack almost cri
270,neutral,mention close taco one spot late
271,empty,mention umm bout em paint get see da game see dey survive noth game da seri due notion hebron im guess
272,surprise,think much work
273,worry,forgot live joan brother casebook
274,sadness,seen muffin two whole day
275,sadness,mention miss back give mention regard
276,surprise,gap year go quick
277,worry,admit bit sum friend walk today
278,neutral,mention girl blunt soo thought right absolute great day stressor come home
279,worry,twitter hack
280,sadness,found mj mouse flat dj cours none left size
281,neutral,mention wont time buy need new binder pa
282,hate,mention sahara well tri ugly
283,neutral,man ultar hard
284,worry,mention even want know know go miss
285,fun,mention awesome weekend go move sat lot fun though
286,neutral,night night twitter world still cant believe thomas thing tomorrow gunn fun sad
287,neutral,mention happen
288,surprise,mention oh hug
289,neutral,mention bore talk someone busi cometh el kinda bummer ink
290,sadness,mention know thing
291,worry,omg ness pm need beep early set garage sale start wish said beat
292,happiness,mention kno door parti
293,worry,okay twitter suddenly chang respond message
294,neutral,ugh dad told read article katya shivashankar spell bee girl like
295,worry,decide matter good hair look curls justify burn get curler hand cover suck
296,sadness,go sleep gonna fall asleep play app trw go suck
297,neutral,mention yea gotta
298,hate,hate bf beat da dog guess way teach pitt
299,worry,sprain ankle like really badly tore stuff hurt birthday weekend
300,sadness,believe metal gear solid song stolen disappoint
301,hate,think may broke toe bar tonight thank drunk girl step
302,neutral,one sale done today work explore balcony big theater w work fun day void chili fri tip
303,sadness,mention wish left dead first need cometh play
304,neutral,mention
305,neutral,mention story remind live port
306,neutral,mention diet dad amp might sure still allow eat sugar throughout day
307,happiness,spill beer leg wast half beer home met cute girl good covers
308,hate,roommate mention love ignore
309,neutral,mention make macho tomorrow better would made
310,neutral,mention yeah ampdont judge pillow
311,relief,scarf light thunder glad go sleep hope late school tomorrow aha
312,sadness,teeth head hurt
313,sadness,hate rob zombi move amp smell weed mm
314,hate,mention math science strongest think dunno bout geography like day studi year work
315,worry,hope get job cut need apart drunk amp miss lil pankin
316,worry,got home want read last chapter break dawn cause dont want beaver
317,worry,need held unit
318,worry,hang sam bill veronica go school tomorrow take sam body shop dang car acid
319,sadness,arrest develop sad
320,neutral,mention wick time leave come cant stay night
321,sadness,oh god keep lose follow sad want one day that goal wink
322,sadness,feel defeat doggy
323,worry,mention wanna see hair how everyone
324,sadness,empty trash mac one difficult thing ever done life picture gone
325,sadness,im contact paw philippine find tiger new owner im sad love dog soo much
326,sadness,got home want read last chapter break dawn cause dont want
327,worry,aww pray array family everyone
328,neutral,mention manual process take ever outlook database pfaff crappy msf product
329,sadness,fudge move store close
330,sadness,sad quiet empty tonight
331,hate,mention hahahaha horrible other sing sure could work wish could afford drum set
332,worry,mention never answer dm sent need info
333,worry,tri get pilot first season friday night light oh gosh pas tissue
334,sadness,mention aw head cancel trip aussi
335,worry,cystic laurie infected eye face swollen hurt
336,worry,mention think anyone caught
337,empty,need sleep even tire
338,empty,
339,neutral,oh nevermind think thing unsalvag
340,neutral,lie bed aa early
341,sadness,sad christian lacroix file bankruptcy
342,sadness,dont feel good fuck
343,worry,look like never go zoo
344,worry,mention ohh poor girl email rely october mr
345,neutral,midhurst play
346,worry,mention bad time
347,hate,aarrgghh uk hose leak water new float floor
348,sadness,go dread dm tomorrow
349,neutral,mention bit ben thai ed
350,happiness,english class work interact oral
351,worry,mention thank rec work
352,neutral,mention sorry exit tomorrow night karaoke get anth special day
353,worry,puppy gizmo h aha still growl always look back long purple scar finni
354,worry,know work tomorrow wit body di sore ugh
355,neutral,w
356,neutral,mention yeah plus little far walk pinocchio sushi
357,worry,feel pressure head always kick nasty headache look forward
358,sadness,taylor swift joe joan look really good together kinda sad broke
359,worry,suppose turn sentence outline research paper within hour online neck hurt
360,worry,lady across way miscarriage say prayer
361,sadness,god want sleep
362,hate,mention ohh thunderstorm boo always make power go
363,worry,feel defeat doggy
364,sadness,found book start real paper bound journal tonight annoy lip make look like her
365,hate,rate rock nashville tone one thing suck encore like still fun show pearl hot bad boy look
366,worry,feel bad got bad news mum
367,sadness,mention dun wanna
368,sadness,mention damn girl ya gotta let know get kit together amp got flyer next weekend
369,sadness,mention del boo sick flip blow bahama kno dont mani friend either feel lame aha
370,neutral,mention that think time gonna
371,neutral,peep still fun time gotta sleep tho work cool hot chick none cool miss
372,worry,feel like work think tweet often
373,sadness,feel sick stomach idea
374,worry,miner mimic special say probably un alt weekend pierrot
375,neutral,count hour lost sunshine weekend
376,surprise,mention dude saw sf pic look like mini occurs pretty kick as see sun tho
377,relief,home safe hungry
378,sadness,mention um thrown mention van yesterday taken er
379,worry,got final table went third think get free seat
380,neutral,good morn work morn gut laugh loud nevermind
381,hate,work morn friend get parti stupid berri lite flash red message
382,happiness,fb bore wanna sing right
383,sadness,mention link work
384,neutral,mention sahara know anyone anth except power laugh loud live bubble
385,worry,humpalow um ya think cell die
386,worry,last day work sick bone
387,worry,feel like hous arrest
388,neutral,love like war east begin hard end fiuuhh
389,surprise,mention ur suppose bk tho
390,worry,mention know shortage shell crab use beach due beach comber sad
391,surprise,oh night night
392,happiness,mention must new music sleep give u chapter might die first though hurry
393,sadness,stupid tooth hurt
394,love,mention love song together song well think still
395,neutral,read go school
396,sadness,mention compute broken broke laptop use phone ahh still cause fuck order
397,neutral,mention good holiday chalet sight look v similar one go home today
398,worry,sad economic heard noth friend lose job sad remind
399,worry,mention start feel really panicky anxious cometh bad happen co seem like age
400,worry,dog ran away
401,hate,mention suck bad
402,worry,back top molar extract swollen face numb toothache sing pain
403,relief,finish hour tea life insure ce tonight hour go
404,worry,anyone know good rap song need make rap fun cd idea help
405,love,want go peru summer ahh hope yesses miss
406,empty,mention happen maid quit
407,sadness,away anybody el away wish live u since fun happen asleep
408,hate,charge power laugh loud damn savemart lost power could buy beer
409,sadness,mention heed love tire
410,worry,mobil phone refuse charge either battery broken charger boohoo
411,worry,mention oh wish would get sign cometh send let call meet cometh
412,worry,mention hmm thought sleep bad see video tomorrow night
413,sadness,morn everyone sorry go early last night bad news felt total crap today new day
414,empty,went beach start rain
415,sadness,wish parent put chine school younger much easier get job
416,relief,mention mention yeah physic move appear report directly mr hayward
417,neutral,mention airport dint show tonight homo
418,worry,mention jealous look like schindler list toronto
419,enthusiasm,want noth matt
420,neutral,mention come rock left bah
421,enthusiasm,need make lot money tomorrow
422,sadness,mention room make sad
423,worry,nearly fell asleep jolt bed massive panic attack sure sleep
424,neutral,gay made tonight
425,sadness,mention oh fuck complete forgot thirst thursday oh gaga suck
426,sadness,one people wrong world blame people great world live shit
427,surprise,mention nope sleep cut live east coast
428,neutral,mention bet cool sr huh stop sweat since noon dad pack
429,sadness,mention ewe dislike
430,worry,tactic mistake go city library buy milk knew ouch ouch ouch may good thing tri uni
431,neutral,decide tran relax nature hair wish whole head look like root age instant gratify
432,sadness,mention sorry bout cat
433,neutral,need increase salary
434,worry,stomach feel like touch ground full
435,love,pug woke inched sleep
436,love,mention cant wait hear new album im sure amaze plea replay love much
437,worry,soon much work little time
438,sadness,miss iron chef
439,sadness,mention d version suck
440,sadness,bad day
441,enthusiasm,mention know ridicule never got hang love chicago want go shop trip sound like fun
442,hate,hate net yaw suzuka ng twitter
443,worry,ugh internet
444,surprise,oh god dint tweet much today sad
445,worry,feel giddy wanna go home
446,neutral,week wasnt without adam lambert perform
447,neutral,mention link work
448,worry,pack last day youth camp
449,neutral,gossip girl come back chance
450,neutral,sh nursery rhyme
451,worry,somebody plea save polar bear
452,happiness,mention noo look lot picture laugh loud laugh loud
453,surprise,mention really sleep bore right word much work
454,worry,come attend yo friend recent gain ton weight know
455,worry,guess im stay home tonight move ing
456,sadness,went cd store search cd
457,worry,mention remind weather month ago horrible hope well hug
458,sadness,miss mom may angel lead
459,love,really android twitter app sweet calibre
460,hate,jacksonville beach walk cold as water work morn ill gt
461,neutral,mention
462,sadness,mention feel way every day
463,sadness,sleep suck one day sleep get go shop mom ugh
464,neutral,mention well got home till bmw p coast right dint miss
465,sadness,sleppytim really miss godfather right love way
466,sadness,headache right suck
467,worry,mention hope ya sleep well guy still
468,fun,finish color draw come
469,sadness,mention maker baby maker miss game two work keep post plea
470,sadness,comfort food day pan mee though dint last good
471,worry,damn drunk hot suck
472,sadness,miss baby
473,worry,sleep paperwork
474,worry,shower ice cold water sweat mean one thing sick
475,worry,midnight cri wish person want want right
476,neutral,mention need follow real quick cause dm
477,sadness,poorly sleep
478,worry,went pole class feel discourage hopeless cone dance sex move spread leg
479,worry,mention poor unfortun soul appear pant
480,worry,mention mention told often wash hair would never speak
481,worry,look like noth sleepless night medic homework sorry advance m chapman
482,worry,mention lot mock
483,worry,dint say goodnight
484,hate,mention pussy dammit send e mail right way
485,sadness,work tom
486,neutral,hongkong intern airport wait hour next flight cebu
487,neutral,sleep noth tv
488,love,pic unload baby pic cat missi adult pretty little kitty batty kitten heaven
489,neutral,mention oh supersede good enough
490,sadness,today say goodbye second good friend week mp least sun shin define work pm
491,worry,mention met stranger min ago stalk store
492,surprise,mention tee beef suppose leave
493,sadness,sometime thing say hurt one love intent never ever take back fix
494,sadness,mention suck
495,neutral,mention ii know mean
496,sadness,fever dont feel work
497,worry,take hors pill hope get sleep tonight
498,neutral,mention ppm student ppm student year back wish could stay one
499,sadness,miss mention day pas quick enough
500,hate,mention hey school hate place
501,sadness,work home today back kill doctor physio later today
502,neutral,back work distract
503,happiness,mention demi say hi enough replay plea love much
504,neutral,aww never notice
505,neutral,mention suck well state start tomorrow im head bed nitty nite
506,worry,look like go nice work today annoy choice
507,neutral,mention guy keep set list forgot ask one xx
508,neutral,first impress silverlight sadly base saw today quit problem
509,worry,deeper hope dad take vanessa game
510,worry,mention hi fuck job
511,sadness,miss deeply
512,neutral,time go bed get go work
513,happiness,mention big vanessa go september go fast hard cut im work much miss
514,sadness,mention sniff sniff take care travel hope chat soon mean time hella miss
515,neutral,mention lucky want telepoint
516,worry,somebody plea save polar bear
517,worry,nose ronni head pound teeth hurt like bitch man mention feel aw
518,sadness,want leave
519,relief,head home refresh mind soul lil bit bac reality
520,happiness,good lord seen agency work upon open day money jam
521,empty,
522,worry,grove drag hell hope suck
523,worry,mention feel like shit say happy beat birfdayi month late
524,sadness,mention laugh that sad kinda discourage rom goin shit wack
525,surprise,got home work finish clean need eat dinner know want ugh oh well might eat
526,sadness,mention wish
527,sadness,miss little batty month old got sick always fun full life love even end
528,neutral,finger cross final time hate keep happen
529,neutral,serious bore without anyone talk tire enough sleep
530,sadness,morn hate morn offers
531,neutral,mention still give compute break oh god
532,sadness,bed bed bed mention never answer text anymore thought day sent one never heard back sad day
533,neutral,
534,sadness,mention wash longer peep
535,sadness,mention laugh loud wow dawg sound like play feel bad aha
536,surprise,extreme deep
537,happiness,little foster kitten get big chubby winston go b miss get amaze home
538,enthusiasm,one week till exam block
539,neutral,mention home cat right
540,worry,hope fail english would sad
541,worry,know would great shoulder stop hurt sleep normal want need solid hour good sleep
542,neutral,lend last show tonight like better conan
543,sadness,mention sorry bad drive expert
544,neutral,mention
545,sadness,already miss mention
546,hate,plan may chang noo
547,hate,sister douchebag
548,surprise,mention resist fee complete sale suck
549,neutral,mention random
550,worry,knew worn sar mask plane local feel begin sore throat
551,sadness,gut bathroom still free early work go happen need loo
552,neutral,mention july long
553,worry,mention aww wish could stuck jab eye knit need
554,surprise,mention wonder met show
555,neutral,wear glass give headache
556,enthusiasm,mention stop talkin food aha fill like sum nw ha how day goin start
557,worry,finish sew night unload picture sidecar beach cant believe difficult twitter
558,sadness,thank mention smile cant wait mm way crash still sick
559,sadness,first work compute home laptop fuck
560,worry,guy call phone see number real ohh phone work tri tomorrow
561,worry,thirst lone bugger make feel like scotti mate
562,worry,mention know came back st lose lead last minute
563,worry,gosh summer vacant almost philippine kinda sad wonder section
564,neutral,mention mention page m twitterworld vote
565,worry,sum wear sweet nike kick work
566,worry,mention twitter broken
567,neutral,sleep good night twenty oc tomorrow hope pray rachel get better soon
568,sadness,mention depress stuck inside day
569,worry,mention even saw news feed arch webster believe choose veronica disappoint
570,sadness,hate sick miss mention mention mention
571,neutral,mention im eat slider barjohnni pork tho beef still search
572,happiness,get read school second math test today also last day rd year next week office th year
573,sadness,woke wanna stay bed
574,worry,depress include moscow garden quiz casebook
575,worry,mention yeah still total high soon outlook forward aug sept
576,sadness,tomato plant die
577,worry,mention oh come get next week get next week full exam
578,neutral,friday last much fun skint though
579,worry,mention know tell anyone dont know dad told fame yet think take online
580,sadness,mention caan iht earlier scant wait long aha smile
581,happiness,friday yay bond drive wale tonight although miss kitten cuddle go ride
582,worry,child promise birthday reek bed problem bugger food hous
583,worry,mention wood realize dm go
584,neutral,think all get bed tomorrow morn seem
585,surprise,cant use blackberry today suck
586,enthusiasm,q studio great open season good look downstairs feel lazy
587,neutral,time chang
588,sadness,mention hate
589,hate,time tv bed spend day catch studi hate online summer class
590,neutral,mention video avail u foreign
591,sadness,want visit aim late
592,worry,mention pc are problem must stop spend work
593,sadness,miss
594,hate,dang really look like crap sigh min shower min get read
595,neutral,wait get pick
596,sadness,exhaust sleep like night
597,sadness,gonna miss live comet action tomorrow go take care cousin access interwebz
598,surprise,laugh loud cant drink
599,surprise,bill compton win twitter
600,sadness,mention sorry hear
601,worry,morn sport day today three leg race mention mr pettigrew said aloud trip
602,sadness,found drink bar book miss e palomino cheer sad face
603,worry,cannon sleep hour toss turn
604,worry,oh god go die swine flu go melbourne
605,neutral,mention dang certain okay
606,neutral,wish dave gilmour roger water would unit pink floyd concert
607,sadness,finish whole box ice cream
608,neutral,hors town blown car speaker
609,neutral,someone make coffee
610,worry,mention plus deposit tax return cheque first time year clear impede
611,love,photo martin oh god love accident delete photo yay he beauty
612,worry,mention know amp hot water bottle i whangamata without ahh
613,neutral,nose stuff
614,neutral,last night newport
615,relief,mention thank sorry new place domes
616,happiness,ok shoe club cool fun pop except ppl trna dance wit
617,worry,hold crap rain la jacket oh
618,neutral,aright twitter fam guess butt gonna tri n sleep horrible pain
619,neutral,baby receive vaccine
620,worry,wish could attend e year small event like nba stanley cup final keep get way work work work
621,happiness,mention laugh loud hi emma latin would help studi aptitude test get grand school that wanna take
622,sadness,mention way wimp
623,relief,mention laugh loud yeah yeah big per wink hope see next week scrap plan
624,worry,reject food substance
625,worry,mention tri interview dr paul twomey ceo cann phone issue cut interview min
626,sadness,mention add space girl ask last name email
627,hate,back vienna soon tire luggage lost manchester great good outcome seminar mb amp great people around
628,worry,mention think take need watch horrible gore short film drug month ago scar life
629,sadness,wanna go back work sleep time
630,worry,mention feel good
631,neutral,watch biggest loser hallmark never fail make cri yeh
632,neutral,mention suck old actual
633,worry,think get work
634,neutral,still confuse
635,worry,naughty girl tonight disappoint
636,worry,mention better missi tell biggest loser
637,sadness,noon got orlando oh god gonna cri
638,surprise,mention aah soo sweet miss age soon much
639,surprise,saw fox get freeway hope got home
640,neutral,scratch sleep stage bound
641,surprise,recap britain got talent britain seem talent america
642,neutral,mention cnt get goin ur old message gtgtgtgt help
643,love,good time rock open mic thank love n support work busi plan present cg nite
644,neutral,mention swim go
645,sadness,mention morn john ye howe diary clash sadly attend
646,sadness,miss friend
647,neutral,mention ohh see see aha iyad summer fill one cours last whole summer
648,sadness,yea saw really sad commerce
649,sadness,hmm use tinytwitt small non touch screen really much fun
650,fun,mention lettuce amp spinach best cool weather live florida much luck grow
651,neutral,mention
652,love,mention oh love em think kind preserve use stay bake kinda make sick
653,neutral,mention unfortun
654,worry,mention new len work work bit give fee error
655,sadness,hate sleep alon
656,neutral,mention
657,empty,need new phone
658,worry,back school almost weekend oh wait gotta work eight four tonight
659,sadness,love johnny carson go hate see jay lend go
660,sadness,even though everyone want newish song teacher are old grumpy like u happy aha
661,worry,english essay ramp f done long time ago assign last thursday
662,worry,mention think much
663,sadness,mention ya suffer whole day yesterday met dentist feel bit better still look like rock balboa though
664,worry,mention end really eat snack sigh
665,surprise,final internet server phoenix fuck
666,neutral,up kenaan abut nih giant dong
667,worry,mention mention mention sorry guy drop trip person commit
668,sadness,get fallback play cri oh well guess back tech
669,happiness,mention awesome wish could fly see
670,sadness,mention kinda wish went fall asleep
671,relief,mention nope het lostampfound wink
672,worry,rock cola diner whittler tonight teacher pal mr b great time chat one el came
673,neutral,bed still exhaust vega
674,love,mention laugh loud true may next year look piggy remem password mod thing cake
675,worry,mm soon yeh really hard concern rite wen weird feel goin thro body
676,worry,mention ouch look pain
677,neutral,took hour nap work today all sleep night bummer
678,fun,mention know enjoy watch two twitter entertain comic miss
679,neutral,love lil ken absolute dread say goodbye le week
680,sadness,mention yet sorry
681,worry,want sit back amp relax little difficult
